,,,高円寺,阿佐ヶ谷,459219 ,23680 ,5920 ,11840 ,16280 ,20720 ,20720 ,19240 ,23680 ,39960 ,41440 ,41440 ,28120 ,30836 ,25718 ,25718 ,23316 ,19953 ,21398 ,19240 
,,,阿佐ヶ谷,荻窪,459219 ,22200 ,7400 ,11840 ,14800 ,20720 ,20720 ,19240 ,23680 ,41440 ,41440 ,41440 ,28120 ,29356 ,25718 ,27198 ,21836 ,21433 ,21398 ,19240 
,,,荻窪,西荻窪,459219 ,22200 ,5920 ,13320 ,14800 ,19240 ,20720 ,19240 ,25160 ,39960 ,41440 ,41440 ,28120 ,29356 ,27198 ,25718 ,23316 ,19953 ,22878 ,19240 
,,,西荻窪,吉祥寺,459219 ,22200 ,5920 ,11840 ,13320 ,20720 ,20720 ,19240 ,23680 ,42920 ,41440 ,39960 ,28120 ,30836 ,25718 ,27198 ,21836 ,21433 ,21398 ,20720 
,,,吉祥寺,三鷹,459219 ,20720 ,5920 ,11840 ,13320 ,20720 ,20720 ,19240 ,25160 ,41440 ,41440 ,39960 ,28120 ,30836 ,25718 ,27198 ,21836 ,21433 ,22878 ,20720 
,,,三鷹,武蔵境,469579 ,19240 ,7400 ,10360 ,13320 ,19240 ,20720 ,20720 ,26640 ,41440 ,41440 ,39960 ,26640 ,30158 ,27876 ,25718 ,22758 ,27911 ,27318 ,20720 
,,,武蔵境,東小金井,469579 ,19240 ,5920 ,10360 ,13320 ,19240 ,20720 ,20720 ,26640 ,41440 ,41440 ,39960 ,26640 ,30158 ,27876 ,25718 ,24238 ,26431 ,27318 ,22200 
,,,東小金井,武蔵小金井,469579 ,17760 ,7400 ,10360 ,11840 ,19240 ,20720 ,20720 ,26640 ,41440 ,41440 ,39960 ,26640 ,30158 ,27876 ,25718 ,25718 ,25718 ,28031 ,22200 
,,,武蔵小金井,国分寺,434059 ,25160 ,10360 ,7400 ,8880 ,14800 ,14800 ,16280 ,23680 ,41440 ,41440 ,39960 ,23680 ,24238 ,27876 ,25718 ,22758 ,21278 ,23591 ,20720 
,,,国分寺,西国分寺,432579 ,23680 ,10360 ,8880 ,7400 ,16280 ,14800 ,13320 ,25160 ,41440 ,41440 ,39960 ,22200 ,25718 ,27876 ,25718 ,22758 ,21278 ,23591 ,20720 
,,,西国分寺,国立,432579 ,23680 ,8880 ,8880 ,8880 ,14800 ,14800 ,14800 ,23680 ,41440 ,41440 ,39960 ,23680 ,25718 ,26396 ,25718 ,22758 ,22758 ,23591 ,20720 
,,,国立,立川,436131 ,22200 ,10360 ,8880 ,8880 ,13320 ,14800 ,15984 ,23680 ,42920 ,41440 ,39960 ,22200 ,25718 ,29060 ,25718 ,22462 ,22758 ,23591 ,22200 
